fen,target
8/8/8/k1K5/3R4/4p3/3p4/8 w - - 0 1,checkmate
8/8/8/Q7/2Kp4/8/3p4/2k5 w - - 0 1,checkmate
8/8/8/8/p2K4/3Q4/kp3P2/8 w - - 0 1,checkmate
8/8/8/8/8/k2K4/2Q5/q7 w - - 0 1,checkmate
8/8/8/8/8/4p3/2Kp1k2/R7 w - - 0 1,checkmate
8/8/8/8/8/4k3/3pp2Q/1K6 w - - 0 1,checkmate
8/8/8/8/3p4/4k3/3p4/R4K2 w - - 0 1,checkmate
8/8/8/8/3P3k/r7/4K3/6R1 w - - 0 1,checkmate
8/8/8/8/2P3k1/4r3/1K6/5R2 w - - 0 1,checkmate
8/5R2/2k1K3/4P2p/7r/8/8/8 w - - 0 1,checkmate
8/8/8/6K1/8/4p3/Q2pk3/8 w - - 0 1,checkmate
8/8/8/5k1P/8/2r5/P6R/6K1 w - - 0 1,checkmate
8/8/8/4k2P/7r/2P1K3/8/2R5 w - - 0 1,checkmate
8/8/8/4bk2/8/8/3B1PP1/5K2 w - - 0 1,checkmate
R7/4K1k1/4P3/6p1/4r3/8/8/8 w - - 0 1,checkmate
8/8/8/3Q4/6K1/8/3pp3/4k3 w - - 0 1,checkmate
8/8/8/1RKp2p1/4k3/8/8/8 w - - 0 1,checkmate
8/8/7k/8/1p6/7K/2P5/8 w - - 0 1,checkmate
8/8/7k/4P3/r7/4K3/8/6R1 w - - 0 1,checkmate
8/8/7Q/8/5K2/8/p7/2k5 w - - 0 1,checkmate
8/8/7P/5rk1/R7/6K1/8/8 w - - 0 1,checkmate
8/8/6k1/r7/P5KP/R7/8/8 w - - 0 1,checkmate
8/8/6R1/8/8/pp5K/8/7k w - - 0 1,checkmate
5k2/7R/8/6K1/6P1/5r2/8/8 w - - 0 1,checkmate
8/8/5P2/8/6K1/7p/6k1/8 w - - 0 1,checkmate
1k6/8/3KQ3/8/8/4P1q1/8/8 w - - 0 1,checkmate
7r/8/8/6k1/6P1/4KR1P/8/8 w - - 0 1,checkmate
8/8/4k3/R1K5/2P5/8/8/3r4 w - - 0 1,checkmate
8/8/3k4/1K2R3/3rPP2/8/8/8 w - - 0 1,checkmate
8/8/3Pk3/2R1P3/2K5/8/8/1r6 w - - 0 1,checkmate
8/8/3K1k2/6R1/5rPP/8/8/8 w - - 0 1,checkmate
8/8/2RK1k2/3P4/r7/8/8/8 w - - 0 1,checkmate
8/8/2K5/8/8/p7/kp1Q4/8 w - - 0 1,checkmate
4r3/1k6/1P6/3PK3/8/1R6/8/8 w - - 0 1,checkmate
8/8/1k6/3K4/6RP/7r/8/8 w - - 0 1,checkmate
8/8/1P6/8/2k3pr/8/3RK3/8 w - - 0 1,checkmate
4R3/2k5/5K2/2p5/8/1p6/8/8 w - - 0 1,checkmate
8/8/1P6/8/2K2kn1/8/6P1/8 w - - 0 1,checkmate
8/7r/7P/6P1/2k5/5K2/8/8 w - - 0 1,checkmate
8/7k/8/8/8/P7/5r2/1K4R1 w - - 0 1,checkmate
8/7P/5q2/8/8/k7/8/1QK5 w - - 0 1,checkmate
8/7K/P7/1k3r2/8/6R1/P7/8 w - - 0 1,checkmate
3r4/Pk6/8/KP6/8/8/6R1/8 w - - 0 1,checkmate
8/6qP/8/8/8/k7/8/1QK5 w - - 0 1,checkmate
8/1k6/1P5R/8/1K5P/8/6r1/8 w - - 0 1,checkmate
8/6R1/4k1K1/4r2P/8/8/8/8 w - - 0 1,checkmate
8/6P1/8/8/3Q4/k2K4/8/1q6 w - - 0 1,checkmate
8/6P1/8/8/2KQ4/8/q7/2k5 w - - 0 1,checkmate
8/6P1/8/5K2/3Q4/7q/8/4k3 w - - 0 1,checkmate
8/6P1/8/4Q3/K7/8/6q1/1k6 w - - 0 1,checkmate
8/6P1/7K/1k6/8/R4pr1/8/8 w - - 0 1,checkmate
8/6P1/4KP2/8/3k4/8/8/6r1 w - - 0 1,checkmate
8/5p2/8/8/5K2/5P2/8/7k w - - 0 1,checkmate
8/5k2/6p1/6P1/4K3/8/8/8 w - - 0 1,checkmate
8/5KQ1/8/8/8/8/7p/7k w - - 0 1,checkmate
8/5K2/4R3/6kp/8/8/8/8 w - - 0 1,checkmate
8/8/5k2/8/4P3/r7/4RKP1/8 w - - 0 1,checkmate
8/4k3/7R/P4p2/4pK2/8/8/4r3 w - - 0 1,checkmate
8/4RP2/4K3/8/8/k6p/8/5r2 w - - 0 1,checkmate
8/4P1r1/8/8/R5K1/8/8/7k w - - 0 1,checkmate
8/4K1kP/4R1P1/8/8/8/8/5r2 w - - 0 1,checkmate
8/4K1P1/k7/8/3Q4/8/4q3/8 w - - 0 1,checkmate
8/3r4/6P1/8/8/1k6/8/2K4R w - - 0 1,checkmate
8/3kP3/3P4/8/7r/1K6/8/3R4 w - - 0 1,checkmate
8/3k4/P7/4R3/3p4/8/1K6/7r w - - 0 1,checkmate
8/3b1K1B/6Pk/8/8/8/7P/8 w - - 0 1,checkmate
8/3P4/1b6/4B3/3P4/3k4/8/3K4 w - - 0 1,checkmate
8/2k5/P7/1K1P4/8/b7/4B3/8 w - - 0 1,checkmate
8/2k5/2P3Pr/8/8/8/6p1/2R3K1 w - - 0 1,checkmate
8/2bBk3/2P5/3K1P2/8/8/8/8 w - - 0 1,checkmate
8/1r6/3P4/4P3/8/1k6/8/7K w - - 0 1,checkmate
8/1p6/8/2K2k2/8/8/1P6/8 w - - 0 1,checkmate
8/1R6/1P6/8/k7/2K5/8/1r6 w - - 0 1,checkmate
8/1K6/8/1k6/1p6/8/1R6/8 w - - 0 1,checkmate
7r/R2Pk3/4P3/4K3/8/8/8/8 w - - 0 1,checkmate
7r/8/8/3kP3/3P4/3K4/8/4R3 w - - 0 1,checkmate
7r/8/7P/6P1/8/1k4K1/8/8 w - - 0 1,checkmate
7k/8/8/3P4/3p2r1/5R2/8/2K5 w - - 0 1,checkmate
7k/8/7P/r5P1/8/8/1R5K/8 w - - 0 1,checkmate
7R/pp6/7K/8/8/8/2k5/8 w - - 0 1,checkmate
7Q/8/8/8/p5K1/7P/kp6/8 w - - 0 1,checkmate
7Q/8/8/8/6K1/8/2p5/3k4 w - - 0 1,checkmate
7K/8/8/6Q1/1p6/8/k1p5/8 w - - 0 1,checkmate
7K/6P1/7Q/8/8/8/1q6/1k6 w - - 0 1,checkmate
7K/6P1/5q2/7Q/8/8/8/1k6 w - - 0 1,checkmate
6q1/6P1/7K/4Q3/k7/8/8/8 w - - 0 1,checkmate
6k1/7R/6P1/7P/8/6r1/8/K7 w - - 0 1,checkmate
6k1/2K5/B3P3/8/4b3/8/8/8 w - - 0 1,checkmate
6R1/8/8/8/7p/p2K3k/8/8 w - - 0 1,checkmate
8/7k/7P/5KP1/5R2/8/8/6r1 w - - 0 1,checkmate
6R1/1r4p1/6P1/8/8/1k4K1/8/8 w - - 0 1,checkmate
6Q1/8/8/5K2/1k6/8/5P2/2q5 w - - 0 1,checkmate
6Q1/8/3K4/7p/8/3k4/5p2/8 w - - 0 1,checkmate
6K1/8/8/4p3/3k4/8/8/5R2 w - - 0 1,checkmate
6K1/8/5r2/3Pk3/4P1R1/8/8/8 w - - 0 1,checkmate
6K1/7p/5R2/5p1k/8/8/8/8 w - - 0 1,checkmate
6K1/6R1/r5P1/8/7k/8/8/8 w - - 0 1,checkmate
6K1/4p2R/6k1/7p/8/8/8/8 w - - 0 1,checkmate
6K1/1k4P1/6P1/8/8/8/r7/8 w - - 0 1,checkmate
5r2/4k3/6P1/8/6K1/8/8/5R2 w - - 0 1,checkmate
5r2/1P3P2/2K5/8/7k/8/8/8 w - - 0 1,checkmate
5R2/3k4/5K2/5P2/8/8/8/5r2 w - - 0 1,checkmate
5Q2/2K5/8/k7/1p6/1P6/8/5q2 w - - 0 1,checkmate
5KR1/p7/8/8/8/7p/8/7k w - - 0 1,checkmate
5K2/3k1P2/8/8/8/8/6r1/4R3 w - - 0 1,checkmate
5K2/3k1P2/1p6/5R2/8/8/8/6r1 w - - 0 1,checkmate
5K1Q/8/8/8/8/8/1pkp4/8 w - - 0 1,checkmate
4r3/8/8/7k/4P3/4K3/8/6R1 w - - 0 1,checkmate
4r3/8/2Pk2K1/3P1R2/8/8/8/8 w - - 0 1,checkmate
4r3/6p1/6P1/8/6K1/7R/8/6k1 w - - 0 1,checkmate
8/8/8/2p2p2/8/4k3/8/4K1R1 w - - 0 1,checkmate
4R3/8/8/4Kp2/6kp/8/8/8 w - - 0 1,checkmate
4R3/4K1k1/4P3/8/8/8/8/4r3 w - - 0 1,checkmate
4K3/5Q2/2P3pk/8/6q1/8/8/8 w - - 0 1,checkmate
4K3/4Q2P/8/8/8/2q5/8/1k6 w - - 0 1,checkmate
4K3/2k1P3/8/8/3r4/3p4/8/3R4 w - - 0 1,checkmate
4K3/1k3P2/3Q4/7q/8/8/8/8 w - - 0 1,checkmate
3r4/8/8/8/k2P4/3K4/8/1R6 w - - 0 1,checkmate
3r4/8/8/8/3P1k2/3K4/8/4R3 w - - 0 1,checkmate
3r4/6k1/8/8/3P4/3K4/8/5R2 w - - 0 1,checkmate
3k4/2r5/2PK4/3R4/8/8/8/8 w - - 0 1,checkmate
3R4/8/8/4K3/8/p6p/4k3/8 w - - 0 1,checkmate
3R4/4K3/r2P4/4k3/8/8/8/8 w - - 0 1,checkmate
3R4/2K2k2/8/3P4/8/8/8/r7 w - - 0 1,checkmate
3K4/8/2P5/P7/8/6k1/8/4r3 w - - 0 1,checkmate
3K4/6P1/8/8/3Q4/8/6q1/1k6 w - - 0 1,checkmate
3K3R/3P1k2/8/8/8/3p4/8/2r5 w - - 0 1,checkmate
2r5/6k1/6p1/P7/3P4/8/6K1/3R4 w - - 0 1,checkmate
2q3k1/P7/6p1/3K4/3Q4/8/8/8 w - - 0 1,checkmate
2k5/8/8/7p/8/8/6P1/5K2 w - - 0 1,checkmate
2R5/K1P5/8/k7/8/2r5/8/8 w - - 0 1,checkmate
2R5/7k/5K2/8/p7/8/1p6/8 w - - 0 1,checkmate
2R4K/8/P7/8/8/8/1r5p/k7 w - - 0 1,checkmate
2R4K/2P5/8/7k/8/2r5/8/8 w - - 0 1,checkmate
2Q5/8/8/8/7p/7K/pk6/8 w - - 0 1,checkmate
2KR4/7r/2P5/2k5/8/8/8/8 w - - 0 1,checkmate
2K5/8/8/P1P5/8/8/8/1k5r w - - 0 1,checkmate
2K5/2P2R2/k7/8/8/8/2r2p2/8 w - - 0 1,checkmate
2K5/2P1k3/8/8/8/8/3R4/1r6 w - - 0 1,checkmate
1r6/8/8/8/4KP2/R7/6k1/8 w - - 0 1,checkmate
1r6/8/8/7R/3k4/1P6/1K6/8 w - - 0 1,checkmate
1r6/8/6p1/7P/1k6/7R/3K4/8 w - - 0 1,checkmate
1r6/8/5k2/8/1P6/1K6/8/3R4 w - - 0 1,checkmate
1r6/8/3k4/8/KP6/8/8/2R5 w - - 0 1,checkmate
1r6/3R4/8/4k3/1P6/1K6/8/8 w - - 0 1,checkmate
1r2K3/4P1k1/8/8/8/8/8/5R2 w - - 0 1,checkmate
1k6/2R5/1P6/2P5/8/7r/1K6/8 w - - 0 1,checkmate
1k3r2/1P6/6P1/8/K7/8/8/1R6 w - - 0 1,checkmate
1k1K3Q/1p6/1P6/8/8/8/8/q7 w - - 0 1,checkmate
8/R7/2K2k2/P7/8/8/8/1r6 w - - 0 1,checkmate
7k/6R1/5P2/p4K2/8/8/8/1r6 w - - 0 1,checkmate
1R6/2pk4/1P6/8/3r4/K7/P7/8 w - - 0 1,checkmate
1R5K/7P/8/p6k/6r1/8/8/8 w - - 0 1,checkmate
1Q6/K7/8/8/8/8/p7/k7 w - - 0 1,checkmate
1K6/2R5/p1p5/8/1k6/8/8/8 w - - 0 1,checkmate
1K6/1P6/8/3P4/8/8/5k2/3r4 w - - 0 1,checkmate
k5r1/p7/8/8/7K/8/8/R7 w - - 0 1,draw
8/8/2k5/2p5/4K3/7r/8/R7 w - - 0 1,draw
4r3/8/k7/p7/8/5K2/8/R7 w - - 0 1,draw
R7/P6k/r7/1K6/8/8/p7/8 w - - 0 1,draw
6R1/8/8/8/8/7K/p2k4/r7 w - - 0 1,draw
R7/8/2K1k3/8/8/p7/8/r7 w - - 0 1,draw
8/R7/5K2/7k/8/p7/8/r7 w - - 0 1,draw
R7/8/8/3K4/8/p1k5/8/r7 w - - 0 1,draw
R7/8/8/8/6K1/5p2/5Pk1/4r3 w - - 0 1,draw
r7/8/8/8/1k6/p7/R1K5/8 w - - 0 1,draw
8/5k2/6p1/8/1R6/3p1K2/r7/8 w - - 0 1,draw
2k5/R7/8/3K4/8/1p6/p7/8 w - - 0 1,draw
8/K7/7P/7R/5r2/5kp1/8/8 w - - 0 1,draw
6k1/8/4PK2/7P/8/r7/8/8 w - - 0 1,draw
8/8/P7/8/5k2/4R2K/3rp3/8 w - - 0 1,draw
8/8/8/R6P/1r6/p6K/1k6/8 w - - 0 1,draw
8/8/8/8/8/1p1k4/6N1/4K3 w - - 0 1,draw
8/8/8/8/3k3K/5Q2/3q1p2/8 w - - 0 1,draw
5r2/1k6/4R3/2p3K1/8/8/8/8 w - - 0 1,draw
4r3/1k6/7R/1p3K2/8/8/8/8 w - - 0 1,draw
8/8/8/5R2/4K1k1/pp6/8/8 w - - 0 1,draw
8/8/8/5K2/8/pp6/7k/5R2 w - - 0 1,draw
8/8/8/5K2/7p/8/5P1k/8 w - - 0 1,draw
8/8/8/3k4/8/5pp1/8/3KR3 w - - 0 1,draw
8/8/8/1P6/2P3r1/8/1K5k/8 w - - 0 1,draw
8/8/7p/4k1pr/6R1/5K2/8/8 w - - 0 1,draw
6r1/2k5/4R3/3p4/8/7K/8/8 w - - 0 1,draw
8/8/6q1/8/4p2Q/5k2/5P1K/8 w - - 0 1,draw
8/8/8/3rk3/8/8/2Q3K1/8 w - - 0 1,checkmate
8/8/6pk/1R6/4r3/2K5/8/8 w - - 0 1,draw
8/8/5k2/8/4K3/4p1rp/R7/8 w - - 0 1,draw
8/8/7k/4R1p1/5r2/4K3/8/8 w - - 0 1,draw
8/8/2p5/8/2P5/8/6K1/3k4 w - - 0 1,draw
8/8/1r6/3p4/2k1p3/4K3/8/3R4 w - - 0 1,draw
8/8/1k4K1/1p6/8/8/6P1/8 w - - 0 1,draw
k7/8/5R1p/8/3K4/6p1/7r/8 w - - 0 1,draw
2R5/8/8/4pk2/7p/5K2/7r/8 w - - 0 1,draw
6k1/6r1/8/8/8/6pR/6Kp/8 w - - 0 1,draw
8/8/5r2/R7/4K2p/8/6k1/8 w - - 0 1,draw
8/8/7R/pr6/8/k7/5K2/8 w - - 0 1,draw
8/5R2/8/8/8/2kp4/3p3K/8 w - - 0 1,draw
6R1/7k/8/8/1K3p2/8/5r2/8 w - - 0 1,draw
8/5K2/5P2/8/8/8/3k4/5q2 w - - 0 1,draw
8/K4k2/8/6p1/8/7p/4R3/8 w - - 0 1,draw
8/4KP1q/8/8/3k4/8/8/8 w - - 0 1,draw
5R2/8/8/5K2/2r2p2/8/4k3/8 w - - 0 1,draw
8/8/8/8/6Q1/4qp1P/4k2K/8 w - - 0 1,draw
8/8/8/2K1k3/6p1/5p2/3R4/8 w - - 0 1,draw
1K6/8/8/8/8/5q2/3Q2pk/8 w - - 0 1,draw
8/K7/8/2k5/4q3/8/3Q2p1/8 w - - 0 1,draw
8/1R6/8/8/8/4p3/3rk1K1/8 w - - 0 1,draw
4R3/8/8/8/8/r3p3/3k2K1/8 w - - 0 1,draw
8/8/1K5p/p4r2/P7/6k1/2R5/8 w - - 0 1,draw
8/K2k4/8/5p2/8/4p3/1R6/8 w - - 0 1,draw
8/1p6/8/8/k7/7K/3P4/8 w - - 0 1,draw
8/5R2/8/8/8/6p1/1K2p1k1/8 w - - 0 1,draw
1K6/P7/8/8/8/8/1qk5/8 w - - 0 1,draw
3r4/8/2k5/2p5/8/8/4K3/7R w - - 0 1,draw
7k/8/7q/1K6/8/8/7p/7Q w - - 0 1,draw
8/R7/8/8/5p2/8/4rk1p/7K w - - 0 1,draw
8/8/8/4P3/k2K4/8/8/7r w - - 0 1,draw
Q7/2q5/8/8/8/1K6/6p1/7k w - - 0 1,draw
8/7r/8/8/8/R4pk1/8/6K1 w - - 0 1,draw
6R1/5r2/8/6p1/8/7k/6p1/6K1 w - - 0 1,draw
5R2/8/8/8/6p1/7k/1r6/6K1 w - - 0 1,draw
6R1/8/8/8/6pk/r7/8/6K1 w - - 0 1,draw
6R1/4r3/8/8/8/2K5/7p/7k w - - 0 1,draw
8/8/8/8/2r1p3/3pK1k1/8/5R2 w - - 0 1,draw
R7/8/8/8/5pk1/8/1r6/5K2 w - - 0 1,draw
5R2/8/8/1K6/8/2k1p3/5p2/8 w - - 0 1,draw
5KR1/8/8/8/8/1p3p2/8/k7 w - - 0 1,draw
R7/2r5/8/8/7p/8/5p2/5k1K w - - 0 1,draw
5K1k/2r5/R7/7p/8/8/2p5/8 w - - 0 1,draw
4r3/8/8/5k2/5p2/8/3K4/5R2 w - - 0 1,draw
8/8/8/5R2/3kp3/8/r7/4K3 w - - 0 1,draw
7R/8/8/4p3/3k4/8/r7/4K3 w - - 0 1,draw
8/8/8/4p3/5k2/1R6/7r/4K3 w - - 0 1,draw
4b3/8/8/8/1p6/p7/B7/K1k5 w - - 0 1,draw
4R3/8/8/8/8/4p3/4k1K1/4r3 w - - 0 1,draw
8/8/8/8/R4K2/4p3/5k2/4r3 w - - 0 1,draw
4K3/8/8/8/1pp5/3k4/8/6R1 w - - 0 1,draw
5r2/R7/8/8/8/8/4p1K1/4k3 w - - 0 1,draw
8/7R/8/8/8/8/2K1p1r1/4k3 w - - 0 1,draw
3k2r1/3p4/8/7K/8/8/8/3R4 w - - 0 1,draw
2R5/8/8/8/3p4/3k4/6r1/3K4 w - - 0 1,draw
8/8/8/5R2/4p3/4k1P1/5r2/3K4 w - - 0 1,draw
3k4/2r5/2PK1P2/8/8/8/8/8 w - - 0 1,draw
1K6/8/8/8/3Q4/8/3q2p1/3k4 w - - 0 1,draw
8/1k6/1p6/3K4/7r/8/8/1R6 w - - 0 1,draw
3r4/8/1k6/1p6/8/4K3/8/1R6 w - - 0 1,draw
1r6/8/1P6/8/1K1k4/8/2P5/8 w - - 0 1,draw
8/8/1k6/1pr5/8/8/3K4/1R6 w - - 0 1,draw
1R6/8/8/8/3p4/3r4/8/1K1k4 w - - 0 1,draw
1R6/7K/8/8/2k5/1p3p2/8/8 w - - 0 1,draw
1R6/8/8/8/4k1p1/8/1p5K/1r6 w - - 0 1,draw
2r5/8/8/8/7R/p2K4/8/1k6 w - - 0 1,draw
