fen,target
7R/8/8/8/8/8/2p1p3/2K1k3 w - - 0 1,checkmate
6n1/3k4/5PK1/8/8/8/8/8 w - - 0 1,checkmate
6K1/p7/8/8/8/1k6/7P/8 w - - 0 1,checkmate
8/8/8/8/6pk/6p1/6K1/8 w - - 0 1,draw
8/8/6K1/2k4P/8/8/8/7r w - - 0 1,draw
8/8/5K2/8/5p2/6k1/6P1/8 w - - 0 1,draw
k7/8/8/6p1/3p4/8/5K2/8 w - - 0 1,draw
8/8/8/8/3R4/5k2/3K2p1/8 w - - 0 1,draw
4N3/8/8/8/8/1p6/2k3K1/8 w - - 0 1,draw
K7/BP6/2k5/8/8/8/7b/8 w - - 0 1,checkmate
K7/8/8/8/1k6/1P6/4P3/8 w - - 0 1,checkmate
8/8/8/P4k2/8/7b/3B4/6K1 w - - 0 1,checkmate
8/8/8/3K1p2/5P1k/8/8/8 w - - 0 1,checkmate
8/8/8/8/5K2/8/4Q2p/6k1 w - - 0 1,checkmate
8/8/8/3KP1k1/6p1/8/8/8 w - - 0 1,checkmate
8/8/6k1/8/8/3P2K1/8/8 w - - 0 1,checkmate
8/8/8/3k4/8/8/2B2B2/1K6 w - - 0 1,checkmate
8/8/2K5/8/p6k/P7/8/8 w - - 0 1,checkmate
8/7P/8/8/8/4K3/pk6/8 w - - 0 1,checkmate
8/6k1/6P1/6K1/6P1/8/8/8 w - - 0 1,checkmate
5Q2/8/8/5K2/8/8/6kp/8 w - - 0 1,checkmate
8/1K6/P7/8/4k3/7p/8/8 w - - 0 1,checkmate
8/1K6/8/8/3pk3/8/8/R7 w - - 0 1,checkmate
6KQ/8/8/8/8/8/2kp4/8 w - - 0 1,checkmate
6K1/5P2/6k1/2b5/8/8/3B4/8 w - - 0 1,checkmate
5Q2/8/8/8/K7/8/2p5/1k6 w - - 0 1,checkmate
4Q3/8/3K1k2/8/8/8/8/6q1 w - - 0 1,checkmate
3k4/1n6/8/P7/8/8/7K/8 w - - 0 1,checkmate
3K4/8/8/3k4/3p4/8/8/3R4 w - - 0 1,checkmate
4kr2/8/8/R2K4/8/8/8/8 w - - 0 1,checkmate
2k5/4P3/3K4/8/b7/8/4B3/8 w - - 0 1,checkmate
2k5/4KP2/6Q1/8/8/4q3/8/8 w - - 0 1,checkmate
1r3k2/R7/5PK1/8/8/8/8/8 w - - 0 1,checkmate
1R6/8/8/8/8/2K5/p7/k7 w - - 0 1,checkmate
8/8/8/3p1k2/8/8/8/6K1 w - - 0 1,draw
8/8/3pk3/8/8/8/4K3/8 w - - 0 1,draw
8/8/8/6p1/8/8/6Pk/5K2 w - - 0 1,draw
1k6/6p1/8/8/8/8/8/K7 w - - 0 1,draw
R7/P3r3/8/4k3/2K5/8/8/8 w - - 0 1,checkmate
R7/7K/8/pk6/8/8/8/8 w - - 0 1,checkmate
4k3/R3P3/P7/8/8/8/4K3/r7 w - - 0 1,checkmate
Q7/8/8/8/8/8/pk2K3/8 w - - 0 1,checkmate
Q7/8/8/8/8/5K2/8/5q1k w - - 0 1,checkmate
8/8/k1K3P1/8/8/8/1b1B4/8 w - - 0 1,checkmate
8/8/8/k2P4/P7/8/8/K7 w - - 0 1,checkmate
8/2p5/K1Pk4/8/8/8/8/8 w - - 0 1,checkmate
8/2p5/8/4K3/8/8/1k5P/8 w - - 0 1,checkmate
8/1k6/8/2P5/P7/8/8/7K w - - 0 1,checkmate
7R/8/8/8/8/5K2/3p4/3k4 w - - 0 1,checkmate
6n1/2k5/4K3/6P1/8/8/8/8 w - - 0 1,checkmate
6K1/8/3Q4/8/8/8/5kp1/8 w - - 0 1,checkmate
6K1/7P/3B4/8/3bk3/8/8/8 w - - 0 1,checkmate
6K1/5P2/3Bk2b/8/8/8/8/8 w - - 0 1,checkmate
4K3/8/8/8/8/5k2/P7/8 w - - 0 1,checkmate
8/8/8/8/6K1/8/4Q3/6kq w - - 0 1,checkmate
3R4/8/8/8/8/8/4p1K1/4k3 w - - 0 1,checkmate
2K5/bP6/2k5/8/8/6B1/8/8 w - - 0 1,checkmate
8/8/8/3K4/8/2k5/p7/N7 w - - 0 1,draw
8/8/8/p2K4/8/8/k7/8 w - - 0 1,draw
8/8/8/7p/6k1/8/8/3K4 w - - 0 1,draw
8/8/8/2k2p2/8/8/8/2K5 w - - 0 1,draw
1r6/8/8/8/k2K4/8/8/7R w - - 0 1,checkmate
8/7p/4K3/8/8/7k/8/8 w - - 0 1,draw
8/5K1P/8/8/3q4/8/8/2k5 w - - 0 1,draw
8/8/8/4k3/6p1/6P1/4K3/8 w - - 0 1,draw
7K/8/k1P5/7p/8/8/8/8 w - - 0 1,draw
8/4RP2/6K1/2k5/8/p7/8/5r2 w - - 0 1,draw
8/8/8/8/3p1k2/3P4/8/4K3 w - - 0 1,draw
8/8/7p/7k/8/8/8/2K5 w - - 0 1,draw
2K5/8/1k6/8/8/p7/P7/8 w - - 0 1,draw
k7/p7/3K4/1P6/8/8/8/8 w - - 0 1,checkmate
8/P7/8/8/8/3k4/5p1K/8 w - - 0 1,checkmate
8/8/8/K7/4p3/8/5k2/7R w - - 0 1,checkmate
8/5K2/8/8/2Q5/p7/1k6/8 w - - 0 1,checkmate
8/8/8/8/1k6/1p1K4/7p/5R2 w - - 0 1,checkmate
8/8/8/7K/3pk3/8/8/3R4 w - - 0 1,checkmate
8/8/7P/8/8/2k5/p3K3/8 w - - 0 1,checkmate
8/8/7P/3K4/5k2/p7/8/8 w - - 0 1,checkmate
8/8/6K1/7P/6k1/2B1b3/8/8 w - - 0 1,checkmate
6kr/8/5K2/8/8/8/R7/8 w - - 0 1,checkmate
8/5kP1/8/8/6P1/5K2/8/8 w - - 0 1,checkmate
8/3k4/1Pp5/8/1K6/8/8/8 w - - 0 1,checkmate
8/2k1p3/4P1K1/8/8/8/8/8 w - - 0 1,checkmate
6K1/p7/P7/8/8/8/8/1k6 w - - 0 1,checkmate
4n3/6k1/3P4/8/1K6/8/8/8 w - - 0 1,checkmate
4k3/8/8/8/8/1P6/8/2K5 w - - 0 1,checkmate
1k4r1/8/KPR5/1P6/8/8/8/8 w - - 0 1,checkmate
8/8/k5p1/8/8/8/K7/8 w - - 0 1,draw
8/8/K7/8/6N1/6kp/8/8 w - - 0 1,draw
kr6/8/8/6K1/8/8/7P/8 w - - 0 1,draw
8/6K1/8/5N2/1p6/3k4/8/8 w - - 0 1,draw
8/5p2/8/8/5K2/7p/8/7k w - - 0 1,draw
7k/8/8/4p2p/8/6K1/8/8 w - - 0 1,draw
R7/P7/8/2K5/8/2k5/8/r7 w - - 0 1,checkmate
8/8/8/8/2k5/P1P5/7K/8 w - - 0 1,checkmate
8/8/8/2k5/pp6/7R/1K6/8 w - - 0 1,checkmate
8/5k2/8/2P5/5K2/8/8/8 w - - 0 1,checkmate
8/3Pk3/8/1K3P2/8/8/8/8 w - - 0 1,checkmate
8/1Pk5/2Pr4/2K5/8/8/8/8 w - - 0 1,checkmate
8/1K1k4/2R5/P7/8/8/8/7r w - - 0 1,checkmate
7Q/8/1K6/8/p7/8/7p/6k1 w - - 0 1,checkmate
